Dragon Types:

Changewing                                  - Big red
Deadly Nadder                               - Paradise
Giant Bee-Eater                             - Sunshine
Gronckle                                    - Rainbow
Hideous Zippleback                          - Pheonix
Monstrous Nightmare                         - Dark Dave
Night Fury                                  - Toothless
Seadragonus Giganticus Maximus (Red Death)  - Carsten
Terrible Terror                             - Slurge
Thunder Drum                              - Van


